Country,Real_GDP_per_Capita_USD,Total_Population,electricity_access_percent,electricity_generating_capacity_kW,roadways_km,mobile_cellular_subscriptions_total,broadband_fixed_subscriptions_total
LIECHTENSTEIN,71000.0,39993.0,100.0,22921000.0,71557.0,11060700.0,4028238.0
LITHUANIA,39300.0,2655755.0,100.0,3512000.0,84166.0,3726653.0,796814.0
LUXEMBOURG,115700.0,660924.0,100.0,1899000.0,2875.0,880000.0,235155.0
MACAU,64800.0,639971.0,100.0,478000.0,428.0,2800000.0,208000.0
MADAGASCAR,1500.0,28812195.0,35.0,587000.0,31640.0,16279633.0,32000.0
MALAWI,1500.0,21279597.0,14.0,618000.0,15452.0,11940135.0,12255.0
MALAYSIA,26300.0,34219975.0,100.0,34959000.0,144403.0,47201700.0,3358800.0
MALDIVES,18800.0,389568.0,100.0,545000.0,93.0,706043.0,63685.0
MALI,2100.0,21359722.0,53.0,890000.0,139107.0,21882251.0,243806.0
MALTA,44700.0,467138.0,100.0,784000.0,3096.0,644955.0,213419.0
MARSHALL ISLANDS,6000.0,80966.0,99.0,,2028.0,16000.0,1000.0
MAURITANIA,5300.0,4244878.0,47.0,656000.0,12253.0,6512361.0,18457.0
MEXICO,19100.0,129875529.0,100.0,93430000.0,704884.0,123920752.0,21936131.0
"MICRONESIA, FEDERATED STATES OF",3300.0,100319.0,83.0,,,22000.0,6000.0
MOLDOVA,14000.0,3250532.0,100.0,594000.0,9352.0,3900179.0,719001.0
MONACO,115700.0,31597.0,100.0,,,36255.0,20877.0
MONGOLIA,11700.0,3255468.0,100.0,1479000.0,113200.0,4687304.0,307166.0
MONTENEGRO,20600.0,602445.0,99.0,1006999.0,7762.0,1120074.0,184176.0
MOROCCO,8100.0,37067420.0,100.0,14187000.0,57300.0,52012000.0,2102434.0
MOZAMBIQUE,1200.0,32513805.0,31.0,2765000.0,31083.0,13686234.0,70000.0
NAURU,11900.0,9852.0,100.0,15000.0,30.0,10000.0,950.0
NEPAL,3800.0,30899443.0,89.0,1392000.0,27990.0,38000000.0,1270000.0
NETHERLANDS,56600.0,17463930.0,100.0,43409000.0,139124.0,21888000.0,7525016.0
NEW CALEDONIA,35700.0,300682.0,100.0,1071000.0,5622.0,260000.0,55000.0
NICARAGUA,5600.0,6359689.0,86.0,1837000.0,23897.0,6233864.0,290351.0
